Price,Close,High,Low,Open,Volume
Ticker,XLB,XLB,XLB,XLB,XLB
Date,,,,,
2017-10-25,50.63704299926758,50.96512376244435,50.412563220756496,50.90468765904228,5658900
2017-10-26,51.31047821044922,51.47451859991086,50.87878985484626,51.06873378523821,6992900
2017-10-27,51.04282760620117,51.267307383884294,50.74927940782213,51.267307383884294,5191100
2017-10-30,50.801090240478516,51.26731449555169,50.697485948302614,51.26731449555169,5245700
2017-10-31,50.93922424316406,51.06873206288546,50.84425228117113,50.86152021003536,4005900
2017-11-01,51.189605712890625,51.35364610143912,50.99966178355602,51.19823803080549,5601000
2017-11-02,50.81834411621094,51.25866470631651,50.70610424284279,51.25866470631651,12818800
2017-11-03,50.79245376586914,50.85288987248689,50.55070604587734,50.85288987248689,3791000
2017-11-06,50.57660675048828,50.9392233698584,50.52480296478372,50.72337920303696,3698300
2017-11-07,50.628414154052734,50.73201844608447,50.4730060692446,50.6543144036804,3625800
2017-11-08,50.680213928222656,50.77518589402153,50.54207378529359,50.7061141757966,2566700
2017-11-09,50.2485237121582,50.50753605888424,50.09311564541844,50.42119970781579,4727100
2017-11-10,50.170814514160156,50.30895463776182,50.06721024483899,50.084474878458906,2850000
2017-11-13,50.42982482910156,50.49889653491623,49.81682826083732,49.98086862186684,2704200
2017-11-14,49.97224426269531,50.17945282609361,49.842736440430826,50.1276523320044,3686700
2017-11-15,49.67005920410156,49.799567023138614,49.43694710594727,49.67005920410156,5480600
2017-11-16,50.274410247802734,50.3348463357725,49.799553859388986,49.84272202315028,3507400
2017-11-17,50.34349822998047,50.50753862274581,50.101750506379986,50.14492197762636,2825900
2017-11-20,50.412559509277344,50.55933524496259,50.23125121241944,50.300319628285145,4159100
2017-11-21,50.680213928222656,50.930593966506834,50.61977782153624,50.69748185777889,3100200
2017-11-22,50.542076110839844,50.74928468800714,50.542076110839844,50.732016757656375,2375800
2017-11-24,50.801090240478516,50.86152635204122,50.62841422450463,50.65431447416834,1223200
2017-11-27,50.4989013671875,50.8269821206408,50.490265756374214,50.8269821206408,3801200
2017-11-28,51.060096740722656,51.08599698740528,50.55933997490806,50.58524022159069,4400700
2017-11-29,51.13779830932617,51.17233416558542,50.95649000424594,51.12053038119655,3869100
2017-11-30,51.422725677490234,51.77671004947079,51.15507767193566,51.250049651117,7508600
2017-12-01,50.99965286254883,51.586749183685775,50.611132753925816,51.517677478366046,8183900
2017-12-04,51.52632141113281,51.94937414722953,51.34501309566279,51.36228102478194,6523400
2017-12-05,51.26730728149414,51.6299238998449,51.2500393529745,51.54358755076727,8226800
2017-12-06,50.96512222290039,51.28457395239925,50.94785429480419,51.172334066534226,4038700
2017-12-07,51.31047821044922,51.31911052841213,50.80971813705981,50.91332571373948,3580300
2017-12-08,51.31047821044922,51.54359031769731,51.19823831580663,51.370914316751964,5135200
2017-12-11,51.379547119140625,51.59539129897717,51.30184308265864,51.44861883757831,5228700
2017-12-12,51.388187408447266,51.55222781438774,51.33638361490343,51.48315938318374,6014500
2017-12-13,51.52632141113281,51.5953898340887,51.40544920081946,51.42271712993862,4181700
2017-12-14,50.956485748291016,51.6558219582888,50.930585505020076,51.6558219582888,4184500
2017-12-15,51.2584228515625,51.405915027556475,51.076222156368075,51.15430722297399,5029000
2017-12-18,52.01323699951172,52.056616851620625,51.562079256303875,51.59678446185922,4871300
2017-12-19,51.952510833740234,52.134708220455884,51.90913097637998,52.04794850573538,3154800
2017-12-20,51.96986770629883,52.22147222351805,51.96986770629883,52.19544496889878,4758500
2017-12-21,52.15205383300781,52.26484409475881,51.95250386816868,52.20410833099248,3211900
2017-12-22,52.35161590576172,52.39499576733871,52.134713288205475,52.23882561792451,3005600
2017-12-26,52.308231353759766,52.43837092682126,52.27352614374164,52.377638464125035,1659800
2017-12-27,52.377647399902344,52.481763047719156,52.33426753481445,52.40367796669232,4186600
2017-12-28,52.61189651489258,52.62057447270231,52.32558679092381,52.438373765080904,1565400
2017-12-29,52.51645278930664,52.811440437114854,52.464398287127466,52.811440437114854,2484800
2018-01-02,53.262603759765625,53.27995636552343,52.65527579692703,52.79409333331833,8979200
2018-01-03,53.63566970825195,53.69640216586768,53.27994960950095,53.40141452473241,4952300
2018-01-04,54.104190826416016,54.21698111711683,53.835230382336036,53.861260947680144,4120100
2018-01-05,54.537994384765625,54.59872685257012,54.21697943927455,54.33844437488354,4672000
2018-01-08,54.61606979370117,54.66812429422371,54.34710940554224,54.59003923376922,4539100
2018-01-09,54.52931213378906,54.93709007952021,54.49461023325508,54.685482270040524,4755500
2018-01-10,54.19961929321289,54.43387448344545,54.08682902169259,54.42519652658268,4220400
2018-01-11,54.91105651855469,54.91105651855469,54.37313575118632,54.416518913794235,5821300
2018-01-12,54.99782180786133,55.1539919420266,54.80694646395466,55.11928673228522,4548700
2018-01-16,54.35578918457031,55.23207417267764,54.017418371475195,55.16266706643022,8512900
2018-01-17,54.607391357421875,54.85032449318529,54.381814134574405,54.74620887371354,10849400
2018-01-18,54.572696685791016,54.77224668502543,54.25167844775769,54.442553799056306,5893700
2018-01-19,54.90238571166992,54.92841627455855,54.59872339189474,54.82430064234615,4933200
2018-01-22,54.77224349975586,54.82429800368565,54.47725584202709,54.82429800368565,5719000
2018-01-23,54.76356506347656,54.806944919595445,54.37313973906483,54.659452746857056,4021500
2018-01-24,54.99782180786133,55.27545686645049,54.76356660661341,54.902384135907994,5744200
2018-01-25,55.36222457885742,55.59647979994199,55.13664400610729,55.249434292482356,7768300
2018-01-26,55.60515213012695,55.674562556725064,54.99782744574997,55.39692746967522,3881300
2018-01-29,54.97178649902344,55.63117214878994,54.937081294368255,55.561761739479586,5331100
2018-01-30,54.572696685791016,54.99782393773835,54.45122844699211,54.73754147394003,8817500
2018-01-31,54.61606979370117,54.79826716487141,54.25167174169002,54.74620935467819,9912600
2018-02-01,53.869930267333984,54.59004518363805,53.774492593079835,54.23432504939051,9486100
2018-02-02,52.455726623535156,53.653029962360876,52.41234676329121,53.5749448900533,9674700
2018-02-05,50.45153045654297,52.81142776299017,50.45153045654297,52.238805208746435,18570700
2018-02-06,52.10000228881836,52.18676531200768,49.57525623325033,49.71407376068232,19340300
2018-02-07,51.63148498535156,52.57718029873907,51.63148498535156,51.865740152117695,16751000
2018-02-08,49.81819534301758,51.82237687083048,49.80084604482437,51.70958657454537,12800000
2018-02-09,50.685794830322266,51.02416564542343,49.12409686928252,50.36477992897434,26417500
2018-02-12,51.70957565307617,52.01324126206543,50.93740296937719,51.08489845023959,10470200
2018-02-13,51.57944107055664,51.8136962853846,51.37989106748197,51.50135599894732,6776300
2018-02-14,52.273521423339844,52.37763373432169,51.05019101287341,51.15430332385525,7999700
2018-02-15,52.66395568847656,52.69866090126656,52.02192249054672,52.64660308208157,6149100
2018-02-16,52.47307586669922,52.984966127982844,52.23882066478933,52.42101805194003,8458500
2018-02-20,52.23882293701172,52.62924829051046,52.04795089393431,52.247500894684535,5243700
2018-02-21,52.0566291809082,52.98497213652736,52.04795453230011,52.28220645110341,4997300
2018-02-22,52.40366744995117,52.88952713690429,52.21279211026479,52.282199218542,4529400
