,XLK,XLE,XLF,XLV,XLY,XLP,XLI,XLU,XLB,XLRE,XLC
Ticker,XLK,XLE,XLF,XLV,XLY,XLP,XLI,XLU,XLB,XLRE,XLC
Date,,,,,,,,,,,
2023-11-06,171.33441162109375,82.159912109375,32.99580383300781,125.69227600097656,158.81321716308594,66.47377014160156,99.30046844482422,59.24285125732422,76.4676284790039,33.101036071777344,66.48160552978516
2023-11-07,173.2073974609375,80.33840942382812,32.946815490722656,125.7804946899414,160.5852813720703,66.63787078857422,99.05546569824219,58.810768127441406,74.9850845336914,32.82383346557617,66.83679962158203
2023-11-08,174.18849182128906,79.331787109375,32.986000061035156,125.60408782958984,160.1595916748047,66.37723541259766,99.2808609008789,58.378692626953125,75.21917724609375,33.01500701904297,66.52106475830078
2023-11-09,173.3758544921875,79.09210968017578,32.84884262084961,123.00714874267578,157.16983032226562,66.10692596435547,99.06526184082031,57.61054992675781,74.575439453125,32.50840377807617,66.5013427734375
2023-11-10,177.90475463867188,79.96452331542969,33.221126556396484,123.74211883544922,159.7833709716797,66.57030487060547,100.49602508544922,57.91780471801758,75.45326232910156,32.87162780761719,67.55706024169922
2023-11-13,176.86419677734375,80.53974151611328,33.17214584350586,124.45751953125,160.46646118164062,66.78267669677734,100.58422088623047,57.226478576660156,75.34596252441406,32.59442901611328,67.40907287597656
2023-11-14,180.4020538330078,81.25875854492188,33.79914093017578,125.30030059814453,165.87179565429688,67.46807861328125,102.60295867919922,59.51170349121094,77.56977844238281,34.35319519042969,68.50426483154297
2023-11-15,180.62998962402344,81.10536193847656,33.98527526855469,125.39830017089844,166.0697784423828,68.0086669921875,102.81855010986328,59.32926559448242,77.9111328125,34.429664611816406,68.8397445678711
2023-11-16,181.53182983398438,79.52352142333984,34.122440338134766,125.93728637695312,164.3670196533203,67.16881561279297,102.8381576538086,59.646121978759766,78.14522552490234,34.420101165771484,69.1456069946289
2023-11-17,181.1552276611328,81.19164276123047,34.29878234863281,125.68248748779297,165.4658966064453,67.0819320678711,103.49473571777344,59.80935287475586,78.29153442382812,34.381866455078125,69.13573455810547
2023-11-20,183.7813720703125,81.30668640136719,34.43593978881836,126.44686889648438,166.31727600097656,67.0336685180664,103.8083267211914,59.62691879272461,78.42809295654297,34.649505615234375,69.91519165039062
2023-11-21,182.2948760986328,81.12454223632812,34.41634750366211,127.21125030517578,165.8916015625,67.23640441894531,103.72992706298828,59.75174331665039,78.7304458618164,34.47745132446289,69.67840576171875
2023-11-22,183.10751342773438,81.08619689941406,34.55350112915039,127.81883239746094,166.396484375,67.71906280517578,103.95532989501953,60.039798736572266,78.7791976928711,34.58259582519531,70.25065612792969
2023-11-24,182.750732421875,81.4217300415039,34.6612663269043,128.5048370361328,166.5548858642578,67.97005462646484,104.21011352539062,60.19342041015625,79.12059020996094,34.7164192199707,70.01387786865234
2023-11-27,182.74082946777344,81.13412475585938,34.543701171875,127.70123291015625,166.82217407226562,67.7769775390625,103.62212371826172,60.28944396972656,79.0230484008789,34.840675354003906,69.5797348022461
2023-11-28,183.08767700195312,81.15330505371094,34.53390121459961,127.0446548461914,167.782470703125,68.08589172363281,103.37714385986328,60.48147964477539,79.17911529541016,35.03184509277344,69.74746704101562
2023-11-29,183.22642517089844,80.54931640625,34.77882766723633,127.0838623046875,167.3270721435547,67.53565216064453,103.76912689208984,60.00138473510742,79.5887451171875,35.29948425292969,69.24427032470703
2023-11-30,183.49400329589844,81.08619689941406,35.17069625854492,128.6812286376953,167.0894775390625,68.21139526367188,104.90589904785156,60.26063919067383,80.37879180908203,35.586238861083984,68.8397445678711
2023-12-01,183.9102020263672,81.50801849365234,35.435211181640625,129.1908416748047,169.37631225585938,68.49134063720703,106.56204223632812,60.999969482421875,81.29560852050781,36.3317985534668,68.97787475585938
2023-12-04,181.67056274414062,81.13412475585938,35.396026611328125,129.43582153320312,168.73284912109375,68.5782241821289,106.73844146728516,60.75992965698242,80.34952545166016,36.53253173828125,68.2872085571289
2023-12-05,182.76065063476562,79.71525573730469,35.21968460083008,129.2692108154297,169.0298309326172,68.03763580322266,105.87606811523438,60.327850341796875,79.24738311767578,36.37959671020508,67.97146606445312
2023-12-06,181.21469116210938,78.52648162841797,35.043338775634766,129.36720275878906,169.27734375,67.86387634277344,106.3464584350586,61.134395599365234,79.08157348632812,36.255332946777344,67.79386901855469
2023-12-07,183.41470336914062,77.98960876464844,35.20988082885742,129.21043395996094,170.67318725585938,68.15347290039062,106.44445037841797,60.999969482421875,79.61800384521484,36.30311965942383,69.21466827392578
2023-12-08,184.98048400878906,78.83325958251953,35.396026611328125,129.42601013183594,171.45530700683594,67.68045043945312,106.77764129638672,60.88475036621094,79.9106216430664,36.22665786743164,69.54026794433594
2023-12-11,186.5958251953125,78.92913055419922,35.61155700683594,130.2786102294922,171.9106903076172,68.32722473144531,107.79681396484375,61.27842712402344,80.47632598876953,36.350921630859375,69.0074691772461
2023-12-12,187.8345947265625,77.84579467773438,35.866275787353516,130.837158203125,172.44528198242188,68.54926300048828,108.28678894042969,61.02877426147461,80.9444808959961,36.34136199951172,69.2936019897461
2023-12-13,189.48956298828125,78.92913055419922,36.44429016113281,133.24794006347656,174.70245361328125,69.7945556640625,109.49215698242188,63.33320617675781,81.92959594726562,37.660430908203125,69.9448013305664
2023-12-14,189.0238037109375,81.24916076660156,36.8067741394043,132.6011505126953,177.0487060546875,68.77129364013672,110.9033203125,62.50745391845703,83.28532409667969,38.702308654785156,70.25065612792969
2023-12-15,189.97515869140625,80.8177490234375,36.59123611450195,131.4741668701172,177.41500854492188,68.77129364013672,110.75631713867188,61.42245101928711,83.07077026367188,38.23393630981445,70.07306671142578
2023-12-18,190.5432586669922,81.47786712646484,36.71332550048828,131.6887664794922,178.51583862304688,69.48716735839844,110.75138854980469,61.283851623535156,83.19941711425781,38.12864303588867,70.93753051757812
2023-12-19,191.26829528808594,82.4554443359375,36.98899459838867,132.57469177246094,179.9142303466797,69.62335205078125,111.60862731933594,61.63276672363281,83.96550750732422,38.389469146728516,71.6595687866211
2023-12-20,188.3780975341797,81.69080352783203,36.32936477661133,130.65516662597656,176.6315155029297,68.27134704589844,109.80546569824219,60.382476806640625,82.67887878417969,37.90645980834961,71.10567474365234
2023-12-21,190.49359130859375,82.01020050048828,36.68378448486328,132.24986267089844,179.3191680908203,68.7479476928711,110.93860626220703,60.48908615112305,83.55300903320312,38.22524642944336,71.80792999267578
2023-12-22,190.74191284179688,82.25218200683594,36.762550354003906,132.90940856933594,178.00013732910156,69.27318572998047,111.47068786621094,60.692623138427734,84.07354736328125,38.37980651855469,71.81781768798828
2023-12-26,191.5364532470703,82.95874786376953,36.91023635864258,133.20469665527344,178.75387573242188,69.56497192382812,112.25894927978516,61.06092834472656,84.46641540527344,38.659950256347656,72.09476470947266
2023-12-27,191.52650451660156,82.59095001220703,37.02838134765625,133.76577758789062,179.36875915527344,69.8859634399414,112.42646026611328,61.022159576416016,84.67268371582031,38.882137298583984,72.10466003417969
2023-12-28,191.75494384765625,81.33267211914062,37.13667678833008,134.11032104492188,178.43650817871094,69.9151382446289,112.45600891113281,61.458309173583984,84.34855651855469,39.12363815307617,72.3024673461914
2023-12-29,191.16897583007812,81.14877319335938,37.018531799316406,134.2481231689453,177.3356475830078,70.06104278564453,112.31807708740234,61.38077163696289,84.0146255493164,38.69858932495117,71.86727905273438
2024-01-02,186.16329956054688,82.01988983154297,37.17605209350586,136.610595703125,175.68936157226562,70.8488998413086,111.1849365234375,62.272457122802734,83.86729431152344,39.0560188293457,71.46173858642578
2024-01-03,184.2663116455078,83.3555908203125,36.86100387573242,136.3842010498047,172.13890075683594,70.29447937011719,109.52957916259766,62.505069732666016,82.96369934082031,38.12864303588867,71.19469451904297
2024-01-04,182.91555786132812,81.89405822753906,37.00868606567383,137.0634307861328,170.92893981933594,70.19721984863281,109.66753387451172,62.311222076416016,82.69851684570312,38.03203582763672,70.95730590820312
2024-01-05,182.86590576171875,81.9618148803711,37.16621398925781,136.94529724121094,171.19668579101562,70.04159545898438,109.79562377929688,62.5438346862793,82.83602142333984,37.95475769042969,71.25403594970703
2024-01-08,187.45443725585938,81.01326751708984,37.402503967285156,138.15606689453125,174.11245727539062,70.55709838867188,110.5149154663086,62.99937438964844,83.1895980834961,38.476409912109375,72.36182403564453
2024-01-09,187.7523956298828,79.7162857055664,37.16621398925781,138.13638305664062,173.4678192138672,70.74191284179688,110.1700439453125,62.48568344116211,82.23690032958984,38.2059211730957,72.21346282958984
2024-01-10,189.35142517089844,78.93228912353516,37.22528839111328,138.76638793945312,174.8562774658203,70.59600830078125,110.73168182373047,62.475990295410156,82.12886047363281,38.26388931274414,72.88604736328125
2024-01-11,190.3148193359375,79.13554382324219,37.08744812011719,138.66793823242188,174.62815856933594,70.58628845214844,110.47550201416016,61.022159576416016,81.8833236694336,37.90645980834961,72.64865112304688
2024-01-12,190.93060302734375,80.02600860595703,37.018531799316406,138.3234100341797,172.52565002441406,70.80999755859375,110.46564483642578,61.3710823059082,81.96189880371094,38.19626235961914,73.00473022460938
2024-01-16,191.4073486328125,78.11924743652344,36.762550354003906,137.49652099609375,172.32730102539062,70.42092895507812,109.35222625732422,60.70231628417969,81.01900482177734,37.96441650390625,72.58930969238281
2024-01-17,190.46380615234375,77.47075653076172,36.693634033203125,137.2209014892578,170.81983947753906,70.3722915649414,108.61322784423828,59.82033157348633,80.4297103881836,37.26889419555664,72.14422607421875
2024-01-18,194.3273162841797,77.34491729736328,36.752708435058594,137.20123291015625,171.79176330566406,70.28475952148438,110.08137512207031,59.180641174316406,80.6850814819336,37.02738571166992,73.0245132446289
2024-01-19,198.80661010742188,77.5965805053711,37.34342956542969,137.2799835205078,173.44798278808594,70.08049774169922,110.80065155029297,59.10310363769531,80.76365661621094,37.38481140136719,74.01360321044922
2024-01-22,199.68060302734375,77.88695526123047,37.52064895629883,137.88046264648438,172.684326171875,69.74005889892578,111.65789794921875,58.802642822265625,80.9993667602539,37.55869674682617,74.1619644165039
2024-01-23,200.48507690429688,78.0514907836914,37.579715728759766,137.78201293945312,172.26779174804688,70.49874877929688,111.56922149658203,58.90925598144531,81.2645492553711,37.35582733154297,74.8938980102539
2024-01-24,201.8656005859375,79.16458129882812,37.72740173339844,136.5220184326172,171.6132354736328,69.63306427001953,110.87947845458984,58.10480880737305,80.1645278930664,36.843841552734375,75.35875701904297
2024-01-25,202.7098388671875,80.94551086425781,37.91445541381836,136.31529235839844,169.49087524414062,70.30419921875,111.94364929199219,59.15156173706055,81.00919342041016,37.346168518066406,76.58523559570312
2024-01-26,200.37582397460938,81.54561614990234,38.05229187011719,137.0929412841797,170.26443481445312,70.64463806152344,111.76628112792969,59.32602310180664,81.03866577148438,37.18194580078125,76.83250427246094
2024-01-29,202.21322631835938,81.4294662475586,38.1507453918457,138.05763244628906,172.75376892089844,71.05316925048828,112.49542236328125,59.70402145385742,81.44133758544922,37.452430725097656,77.47541809082031
2024-01-30,200.54466247558594,82.27153778076172,38.63317108154297,138.3726348876953,172.65457153320312,71.45195007324219,112.53484344482422,59.684635162353516,81.8145751953125,37.10466766357422,76.95120239257812
2024-01-31,196.3335418701172,80.73258209228516,38.16059494018555,138.18560791015625,169.5106964111328,70.92671203613281,111.23420715332031,59.558631896972656,80.7439956665039,36.83417892456055,75.05213928222656
2024-02-01,198.80661010742188,80.722900390625,38.21966552734375,139.97714233398438,172.7736053466797,72.37598419189453,113.12604522705078,60.692623138427734,82.0895767211914,37.481414794921875,75.82363891601562
2024-02-02,200.8625030517578,80.83903503417969,38.37718963623047,139.7704315185547,175.8579559326172,72.14253997802734,113.88475036621094,59.597408294677734,81.60830688476562,37.00806427001953,78.87003326416016
2024-02-05,201.31935119628906,80.63578033447266,38.1507453918457,140.2035369873047,173.37857055664062,71.69512939453125,113.26398468017578,58.3568000793457,79.53594207763672,36.273895263671875,77.76226043701172
2024-02-06,200.39569091796875,80.8971176147461,38.22951126098633,141.72930908203125,174.42984008789062,71.8604736328125,114.27888488769531,58.570030212402344,80.94043731689453,36.824520111083984,77.52486419677734
2024-02-07,203.04751586914062,81.06166076660156,38.51502227783203,142.1132354736328,176.38357543945312,71.7923812866211,115.03759002685547,58.60879898071289,81.58866882324219,36.80520248413086,77.92050170898438
2024-02-08,203.6831512451172,81.89405822753906,38.36734390258789,141.86712646484375,177.15716552734375,71.77294158935547,115.05729675292969,58.19203567504883,81.48062133789062,37.00806427001953,78.21723175048828
2024-02-09,206.42434692382812,80.63578033447266,38.47564697265625,141.75885009765625,178.4166717529297,71.11151885986328,115.23464965820312,58.414955139160156,81.65742492675781,37.10466766357422,78.30624389648438
